region,model,layer,view,n_pairs,rho,p_perm,null_sd
hippocampus,dinov2_small,block5,cls,6200,0.023385659328458337,0.03482587064676617,0.010939049976853613
MTL_concept,dinov2_small,block5,cls,5681,0.06674252778320573,0.004975124378109453,0.011527950372832912
MTL,dinov2_small,block5,gap,6886,0.04391883834197838,0.004975124378109453,0.012229513992729717
MFC,dinov2_small,block5,gap,6886,0.0025090923109119373,0.32338308457711445,0.00988507216662917
amygdala,dinov2_small,block5,gap,5987,0.02755245288221798,0.014925373134328358,0.009554061275480186
hippocampus,dinov2_small,block5,gap,6200,0.019250416675002515,0.04477611940298507,0.0106534074316085
MTL_concept,dinov2_small,block5,gap,5681,0.055228892885944195,0.004975124378109453,0.011109136579210047
MTL,dinov2_small,block8,cls,6886,0.08411459561302087,0.004975124378109453,0.013439117497473502
MFC,dinov2_small,block8,cls,6886,0.02481066079317082,0.014925373134328358,0.00904089739824987
amygdala,dinov2_small,block8,cls,5987,0.06289293622359869,0.004975124378109453,0.010280644790313135
hippocampus,dinov2_small,block8,cls,6200,0.029842782509813467,0.004975124378109453,0.009455102662143049
MTL_concept,dinov2_small,block8,cls,5681,0.08206605025361217,0.004975124378109453,0.011545397591135865
MTL,dinov2_small,block8,gap,6886,0.074946878068686,0.004975124378109453,0.013554989361429834
MFC,dinov2_small,block8,gap,6886,0.01395414233824209,0.07960199004975124,0.010156117930732697
amygdala,dinov2_small,block8,gap,5987,0.05785468832610569,0.004975124378109453,0.010338250738411258
hippocampus,dinov2_small,block8,gap,6200,0.020421169903068,0.03482587064676617,0.01049244614458079
MTL_concept,dinov2_small,block8,gap,5681,0.08352880950834476,0.004975124378109453,0.012223914239365403
MTL,dinov2_small,block11,cls,6886,0.0555759003658787,0.004975124378109453,0.011918580982574895
MFC,dinov2_small,block11,cls,6886,0.011999959331117555,0.16417910447761194,0.01054295079368004
amygdala,dinov2_small,block11,cls,5987,0.04446294280435615,0.004975124378109453,0.011475445860024481
hippocampus,dinov2_small,block11,cls,6200,0.005690512775804825,0.27860696517412936,0.011168007999765979
MTL_concept,dinov2_small,block11,cls,5681,0.04685783860768266,0.004975124378109453,0.011731189819685442
MTL,dinov2_small,block11,gap,6886,0.08393054740030866,0.004975124378109453,0.012767965940445216
MFC,dinov2_small,block11,gap,6886,0.013923976405331178,0.05472636815920398,0.009533911155520334
amygdala,dinov2_small,block11,gap,5987,0.07125532872620045,0.004975124378109453,0.010003350643527928
hippocampus,dinov2_small,block11,gap,6200,0.019875644684817652,0.03980099502487562,0.010588055599202771
MTL_concept,dinov2_small,block11,gap,5681,0.09175140786307562,0.004975124378109453,0.011216579898708836
MTL,dinov2_small,norm,cls,6886,0.05543286510712501,0.004975124378109453,0.011426554500026427
MFC,dinov2_small,norm,cls,6886,0.0049139811629542104,0.373134328358209,0.010913217762974351
amygdala,dinov2_small,norm,cls,5987,0.045495515193383775,0.004975124378109453,0.01293657338420222
hippocampus,dinov2_small,norm,cls,6200,0.005871447244526027,0.3582089552238806,0.011995955969045385
MTL_concept,dinov2_small,norm,cls,5681,0.05213301129867826,0.004975124378109453,0.01338454705987093
MTL,dinov2_small,norm,gap,6886,0.1032453398847259,0.004975124378109453,0.013003438460531468
MFC,dinov2_small,norm,gap,6886,0.017518746741976704,0.04477611940298507,0.00994531001376056
amygdala,dinov2_small,norm,gap,5987,0.08880260993916571,0.004975124378109453,0.012463127592596997
hippocampus,dinov2_small,norm,gap,6200,0.021648792725339438,0.029850746268656716,0.01180677115791241
MTL_concept,dinov2_small,norm,gap,5681,0.11024111501814848,0.004975124378109453,0.01371371281182278
